country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold
angola,2011,1,-12.3503,13.5349,36,2.3127568,1.0,E
angola,2011,2,-12.3609,13.5515,32,2.010293,1.0,E
angola,2011,3,-12.6134,13.4131,36,0.87774396,1.0,A
angola,2011,4,-12.5815,13.3977,35,1.0669937,1.0,A
angola,2011,5,-12.5781,13.4187,37,1.7501526,1.0,A
angola,2011,6,-12.5753,13.4086,27,1.632411,1.0,A
angola,2011,7,-11.1889,13.839,33,0.11416385,1.0,A
angola,2011,8,-11.2001,13.8329,30,0.70044357,-1.0,A
angola,2011,9,-8.5932,13.6432,36,0.444854,1.0,D
angola,2011,10,-8.5839,13.6643,36,0.87010604,1.0,D
angola,2011,11,-12.7528,15.7425,33,0.91252536,1.0,B
angola,2011,12,-12.7826,15.7543,34,-0.02090346,1.0,B
angola,2011,13,-12.6001,13.2001,36,-0.15603352,0.0,C
angola,2011,14,-12.5948,13.2027,37,0.6620165,0.0,C
angola,2011,15,-12.4269,13.5544,36,-0.15116675,0.0,E
angola,2011,16,-12.4267,13.5585,37,0.35117927,0.0,E
angola,2011,17,-13.4344,14.2694,37,-1.2293731,0.0,D
angola,2011,18,-13.4651,14.2781,37,-0.92575103,0.0,D
angola,2011,19,-12.3448,14.7731,37,-0.5410237,1.0,D
angola,2011,20,-12.3714,14.7533,37,-1.1406131,0.0,D
angola,2011,21,-10.8713,14.354,37,-1.1657039,0.0,B
angola,2011,22,-10.858,14.3588,37,0.3691469,0.0,B
angola,2011,23,-10.4196,13.9707,33,-0.98234725,0.0,E
angola,2011,24,-10.391,13.9845,23,-1.2775807,0.0,E
angola,2011,25,-11.5374,14.727,28,-1.1168716,0.0,E
angola,2011,26,-11.5175,14.7547,26,-1.2346736,0.0,E
angola,2011,29,-9.0968,13.6464,37,0.06002213,0.0,C
angola,2011,30,-9.1729,13.6482,33,-0.9133352,0.0,C
angola,2011,31,-8.1591,14.4691,37,-0.44839758,0.0,D
angola,2011,32,-8.1599,14.46,37,-0.29533517,0.0,D
angola,2011,33,-6.013,14.1735,36,-0.88893455,0.0,C
angola,2011,34,-5.8696,14.0991,17,-0.9669796,0.0,E
angola,2011,35,-5.8721,13.4396,37,-1.0252708,0.0,A
angola,2011,36,-5.8979,13.4087,37,-1.2417839,0.0,A
angola,2011,37,-12.1066,16.6956,25,-1.1428342,0.0,C
angola,2011,38,-12.1862,16.7452,35,-0.923072,0.0,D
angola,2011,39,-11.3834,16.2056,37,-0.6258485,0.0,E
angola,2011,40,-11.3428,16.2018,31,-1.0151771,0.0,E
angola,2011,41,-12.2162,17.5173,33,-0.98745567,0.0,A
angola,2011,42,-12.1707,17.5469,31,-1.138468,0.0,A
angola,2011,43,-12.1318,17.9235,32,-1.334456,0.0,B
angola,2011,45,-13.9135,17.2861,36,-1.3171909,0.0,B
angola,2011,46,-13.7515,17.1837,34,-1.2570183,0.0,E
angola,2011,47,-12.9173,15.7202,32,0.88385606,0.0,B
angola,2011,48,-12.748,15.7674,30,0.2159259,0.0,B
angola,2011,49,-12.791,15.7435,26,-0.16793853,0.0,B
angola,2011,50,-12.8754,15.7602,35,-0.21569687,0.0,B
angola,2011,51,-12.7433,15.7618,37,0.21406402,0.0,B
angola,2011,52,-12.7729,15.7562,34,0.27623963,0.0,B
angola,2011,53,-12.9846,15.9435,36,-0.05650587,0.0,C
angola,2011,54,-12.7397,15.6622,35,-0.41032577,-1.0,B
angola,2011,55,-12.5377,16.2505,35,-0.83577746,0.0,C
angola,2011,56,-12.5652,16.2618,34,-0.9108066,0.0,C
angola,2011,57,-13.4375,15.4123,37,-0.8691003,0.0,B
angola,2011,58,-13.5305,15.4606,12,-0.97534615,0.0,E
angola,2011,60,-11.9716,16.4881,36,-0.83114624,0.0,D
angola,2011,61,-5.5645,12.2008,32,0.94628197,1.0,D
angola,2011,62,-5.5737,12.192,32,1.2258558,1.0,D
angola,2011,63,-9.5272,16.3387,37,0.59025913,1.0,D
angola,2011,64,-9.543,16.3186,37,1.0886902,1.0,D
angola,2011,65,-9.6929,14.4323,37,0.89985454,1.0,D
angola,2011,66,-9.6814,14.4353,36,0.15538767,1.0,D
angola,2011,67,-7.6153,15.053,35,1.7723438,1.0,C
angola,2011,68,-7.6192,15.061,37,1.3011552,1.0,C
angola,2011,69,-7.7687,15.2521,37,0.9675911,1.0,E
angola,2011,70,-7.7745,15.2516,37,0.63094926,1.0,E
angola,2011,71,-4.5933,12.8622,34,-0.031260427,0.0,D
angola,2011,72,-4.4656,12.8624,11,-0.7073033,0.0,C
angola,2011,73,-9.5989,21.5811,36,-1.3273675,0.0,A
angola,2011,74,-9.0559,21.4824,24,-1.3120311,0.0,B
angola,2011,75,-10.5562,22.0396,37,-1.2307408,0.0,D
angola,2011,76,-10.56,22.167,37,-1.1368579,0.0,E
angola,2011,77,-11.2108,19.8219,37,-1.3230524,0.0,B
angola,2011,78,-11.1502,19.7946,28,-1.3465561,0.0,B
angola,2011,79,-7.6951,21.3826,37,-1.1085097,0.0,A
angola,2011,80,-7.7286,21.314,37,-1.0280075,0.0,A
angola,2011,81,-7.3682,20.8096,37,-0.22863428,0.0,E
angola,2011,82,-7.3842,20.7961,37,-0.87403536,0.0,E
angola,2011,83,-9.762,19.6572,36,-1.1213348,0.0,B
angola,2011,84,-9.7262,19.6317,36,-1.2149843,0.0,B
angola,2011,85,-9.5002,17.4653,37,-1.0372059,0.0,D
angola,2011,86,-9.4986,17.83,37,-1.2263392,0.0,E
angola,2011,87,-9.5681,16.202,36,-0.6806131,0.0,D
angola,2011,88,-9.6616,16.2971,37,-1.1558049,0.0,C
angola,2011,89,-9.4696,16.1578,29,-1.1216271,0.0,E
angola,2011,90,-9.4452,16.1515,21,-1.0558224,0.0,E
angola,2011,91,-8.3549,16.119,24,-0.78481495,0.0,D
angola,2011,92,-8.3788,16.1165,21,-1.2815422,0.0,D
angola,2011,93,-8.81,16.7954,34,0.27568626,0.0,C
angola,2011,94,-8.8218,16.7679,37,-0.8748846,0.0,C
angola,2011,95,-8.4957,16.4042,29,-1.2372631,0.0,B
angola,2011,96,-8.5208,16.3611,24,-1.0111725,0.0,B
angola,2011,97,-10.9723,17.5492,36,-0.92209315,0.0,E
angola,2011,98,-10.9999,17.5641,31,-0.5756256,0.0,E
angola,2011,100,-9.4811,16.8598,33,-1.0281428,0.0,A
angola,2011,101,-9.2716,15.235,34,-1.1011342,0.0,E
angola,2011,102,-9.2531,15.2417,28,-1.2142001,1.0,E
angola,2011,103,-8.1776,15.3791,37,-0.72886723,0.0,C
angola,2011,104,-8.205,15.3973,35,-1.0815564,0.0,C
angola,2011,105,-8.8964,15.5991,35,-1.2281018,0.0,A
angola,2011,106,-8.9895,15.5805,26,-0.59479547,0.0,C
angola,2011,107,-7.7904,15.3927,37,-1.1033655,0.0,A
angola,2011,108,-8.0295,15.5752,31,-0.94973975,0.0,A
angola,2011,109,-6.0662,15.0877,37,0.12972672,0.0,E
angola,2011,110,-6.0815,15.0644,37,-0.51630914,0.0,E
angola,2011,111,-6.6611,15.1186,12,-0.6496262,0.0,A
angola,2011,112,-6.6961,15.1325,22,-0.5792798,0.0,A
angola,2011,113,-7.5497,15.4523,37,-1.141633,-1.0,D
