country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold,predicted_wealth
angola,2015,1,-12.1014,14.1407,26,-1.1326385,0.0,D,-4.348251819610596
angola,2015,2,-9.6635,20.377,26,0.6698427,1.0,E,2.1501407623291016
angola,2015,3,-8.9289,13.2995,10,1.5155905,1.0,D,24.25900650024414
angola,2015,4,-14.2876,17.6217,26,-0.5591352,0.0,B,-4.467580318450928
angola,2015,5,-14.211,13.5463,26,-1.1861184,0.0,B,-6.181820869445801
angola,2015,6,-5.562,12.2115,25,1.5846177,1.0,D,-1.8636056184768677
angola,2015,7,-5.5802,12.1912,25,1.6973333,1.0,D,-2.8377089500427246
angola,2015,8,-12.3533,14.7787,22,0.08311084,1.0,D,-0.6205020546913147
angola,2015,9,-11.6102,14.4608,25,-0.95577794,0.0,E,-4.782060146331787
angola,2015,10,-8.8282,13.3354,25,1.2438675,1.0,D,21.403717041015625
angola,2015,11,-8.8888,13.3532,23,1.7684237,1.0,D,24.34990882873535
angola,2015,12,-14.2364,12.4154,23,-0.4440743,0.0,C,26.99007797241211
angola,2015,13,-9.0969,15.7412,26,-1.061425,0.0,C,-6.12298059463501
angola,2015,14,-14.6667,17.6867,26,-0.10826232,1.0,E,5.4411420822143555
angola,2015,15,-14.9218,13.5108,26,1.714279,1.0,C,11.494444847106934
angola,2015,16,-8.9085,20.2594,26,-1.2488078,0.0,E,-4.6149749755859375
angola,2015,17,-12.2757,16.0263,26,-0.8464668,0.0,E,-3.455564498901367
angola,2015,18,-9.5535,16.3891,26,1.148126,1.0,D,2.6134185791015625
angola,2015,19,-13.7052,14.5974,26,-1.0938611,0.0,D,-0.4663010537624359
angola,2015,20,-15.3413,21.4856,26,-1.036482,0.0,D,9.324531555175781
angola,2015,21,-8.6971,19.7275,26,-1.3568355,0.0,D,-3.3359899520874023
angola,2015,22,-7.3742,20.8097,23,1.8061017,1.0,E,-3.5240774154663086
angola,2015,23,-8.9106,13.455,24,0.68549305,0.0,D,18.478424072265625
angola,2015,24,-10.5612,17.4244,26,-0.7654207,0.0,D,-2.4533164501190186
angola,2015,25,-8.8813,13.3151,26,1.7518587,1.0,D,25.98365020751953
angola,2015,26,-6.8195,13.3273,19,0.82195,1.0,B,23.69995880126953
