country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold,predicted_wealth
angola,2015,1,-12.1014,14.1407,26,-1.1326385,0.0,D,-0.6203577518463135
angola,2015,2,-9.6635,20.377,26,0.6698427,1.0,E,0.766343355178833
angola,2015,3,-8.9289,13.2995,10,1.5155905,1.0,D,1.385094165802002
angola,2015,4,-14.2876,17.6217,26,-0.5591352,0.0,B,0.07432982325553894
angola,2015,5,-14.211,13.5463,26,-1.1861184,0.0,B,-0.49372047185897827
angola,2015,6,-5.562,12.2115,25,1.5846177,1.0,D,1.2512996196746826
angola,2015,7,-5.5802,12.1912,25,1.6973333,1.0,D,1.0140169858932495
angola,2015,8,-12.3533,14.7787,22,0.08311084,1.0,D,0.7714545726776123
angola,2015,9,-11.6102,14.4608,25,-0.95577794,0.0,E,-0.710537314414978
angola,2015,10,-8.8282,13.3354,25,1.2438675,1.0,D,1.4521383047103882
angola,2015,11,-8.8888,13.3532,23,1.7684237,1.0,D,1.3495423793792725
angola,2015,12,-14.2364,12.4154,23,-0.4440743,0.0,C,-0.71767258644104
angola,2015,13,-9.0969,15.7412,26,-1.061425,0.0,C,-1.0880273580551147
angola,2015,14,-14.6667,17.6867,26,-0.10826232,1.0,E,0.8256633281707764
angola,2015,15,-14.9218,13.5108,26,1.714279,1.0,C,1.2254637479782104
angola,2015,16,-8.9085,20.2594,26,-1.2488078,0.0,E,-0.6206542253494263
angola,2015,17,-12.2757,16.0263,26,-0.8464668,0.0,E,-0.597335159778595
angola,2015,18,-9.5535,16.3891,26,1.148126,1.0,D,-0.12035849690437317
angola,2015,19,-13.7052,14.5974,26,-1.0938611,0.0,D,-0.41318777203559875
angola,2015,20,-15.3413,21.4856,26,-1.036482,0.0,D,-0.44807538390159607
angola,2015,21,-8.6971,19.7275,26,-1.3568355,0.0,D,-0.5224849581718445
angola,2015,22,-7.3742,20.8097,23,1.8061017,1.0,E,0.8318641185760498
angola,2015,23,-8.9106,13.455,24,0.68549305,0.0,D,0.44714364409446716
angola,2015,24,-10.5612,17.4244,26,-0.7654207,0.0,D,-1.0831007957458496
angola,2015,25,-8.8813,13.3151,26,1.7518587,1.0,D,1.2281243801116943
angola,2015,26,-6.8195,13.3273,19,0.82195,1.0,B,0.5589609146118164
angola,2015,27,-10.1519,19.2647,26,-0.54857486,1.0,A,-0.17538519203662872
angola,2015,28,-8.4612,20.7153,25,-0.2809092,1.0,B,1.0828936100006104
angola,2015,29,-10.4035,15.5296,16,-0.79047894,0.0,D,-0.8713549375534058
angola,2015,30,-9.6435,20.4052,26,-0.1320091,1.0,E,0.3050426244735718
angola,2015,31,-12.379,16.9205,25,0.3179624,1.0,E,0.8892659544944763
angola,2015,32,-14.3388,14.9556,26,-0.6996906,0.0,C,-0.2979753911495209
angola,2015,33,-8.8839,13.2206,22,1.4792907,1.0,D,1.4639904499053955
angola,2015,34,-8.5864,13.6568,26,1.3120643,1.0,D,0.8908709287643433
angola,2015,35,-9.6747,20.3792,26,-0.24261852,1.0,E,0.5007398128509521
angola,2015,36,-9.5316,16.3341,26,1.3783981,1.0,D,0.5819668769836426
angola,2015,37,-13.2682,16.287,23,-1.1094804,0.0,B,-0.5854623317718506
angola,2015,38,-12.5381,13.4862,23,1.1166149,1.0,A,0.27926236391067505
angola,2015,39,-10.0803,17.557,23,-0.4235197,1.0,C,-0.773186445236206
angola,2015,40,-13.9708,13.6815,26,-1.2127905,0.0,A,-0.5342966318130493
angola,2015,41,-14.7447,17.7235,26,-0.7996687,0.0,E,-0.2149868607521057
angola,2015,42,-8.9246,13.1722,26,1.9214829,1.0,D,1.5234460830688477
angola,2015,43,-9.046,16.0007,25,-0.69698584,0.0,C,-0.9771631956100464
angola,2015,44,-8.8795,13.2951,15,1.7813367,1.0,D,1.4470525979995728
angola,2015,45,-9.6854,14.4415,23,1.1525501,1.0,D,0.7923625707626343
angola,2015,46,-12.4733,14.1567,23,-0.8073603,1.0,D,0.3376033902168274
angola,2015,47,-15.21,12.1648,26,0.36473402,1.0,A,0.1276891529560089
angola,2015,48,-13.5924,13.9466,24,0.19777896,1.0,B,-0.313233882188797
angola,2015,49,-15.117,12.1504,25,-0.1559202,1.0,A,0.4171260893344879
angola,2015,50,-17.0487,16.5032,26,-1.052314,0.0,C,-0.7710248827934265
angola,2015,51,-8.466,15.2607,24,-0.44262567,1.0,C,-0.0189378559589386
angola,2015,52,-11.1126,23.7081,18,-0.77709967,0.0,C,-0.6802637577056885
angola,2015,53,-6.1491,12.3593,17,0.8641911,1.0,D,1.0647447109222412
angola,2015,54,-9.6771,20.3958,26,0.76602787,1.0,E,0.9278033971786499
angola,2015,55,-6.2578,14.2154,18,-0.0072116815,1.0,B,0.6648856401443481
angola,2015,56,-10.8994,16.0914,19,-0.6128539,0.0,B,-0.6469530463218689
angola,2015,57,-6.1072,14.6288,25,-0.0651742,1.0,A,0.3489738702774048
angola,2015,58,-9.5512,16.36,23,1.1340973,1.0,D,0.843072772026062
angola,2015,59,-12.7573,15.7567,20,1.8371692,1.0,B,0.6718025803565979
angola,2015,60,-8.4241,20.7358,23,0.6838541,1.0,B,0.14751775562763214
angola,2015,61,-15.1866,12.172,26,1.611539,1.0,A,0.27045249938964844
angola,2015,62,-12.6476,13.3773,25,0.9292605,1.0,A,-0.03429079055786133
angola,2015,63,-9.004,20.4129,26,-0.77181244,0.0,A,0.17079615592956543
angola,2015,64,-8.7808,18.0038,20,-0.4809178,1.0,A,0.0587715208530426
angola,2015,65,-17.1931,15.5905,24,-0.77288526,0.0,B,-0.12747567892074585
angola,2015,66,-8.8084,13.3367,21,1.2478139,1.0,D,1.3586660623550415
angola,2015,67,-4.7662,12.5107,21,0.51015,0.0,B,0.4039144814014435
angola,2015,68,-8.8454,13.3269,26,1.3035235,1.0,D,1.4011613130569458
angola,2015,69,-8.8889,13.4836,26,2.115924,1.0,D,0.8699111938476562
angola,2015,70,-15.2246,12.176,25,0.48588473,1.0,A,0.3364735245704651
angola,2015,71,-6.1369,12.3547,20,0.3528143,1.0,D,1.1639714241027832
angola,2015,72,-9.3201,14.9061,25,1.3553777,1.0,C,0.8239461183547974
angola,2015,73,-11.7567,19.9221,22,0.46677342,1.0,A,1.1451557874679565
angola,2015,74,-6.1425,12.3597,20,0.91475946,1.0,D,0.6900294423103333
angola,2015,75,-7.4871,16.2254,26,-1.0396798,0.0,D,-0.8972227573394775
angola,2015,76,-8.6153,13.5468,25,1.0188468,0.0,D,0.37031981348991394
angola,2015,77,-4.6535,12.7314,17,0.23624001,0.0,A,0.06886979937553406
angola,2015,78,-6.6133,15.7763,25,-1.0000894,0.0,B,-0.3247901201248169
angola,2015,79,-15.6448,20.8918,25,-0.7446426,0.0,D,-0.6878290772438049
