country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold,predicted_wealth
angola,2015,1,-12.1014,14.1407,26,-1.1326385,0.0,D,-0.5793679356575012
angola,2015,2,-9.6635,20.377,26,0.6698427,1.0,E,0.9027246236801147
angola,2015,3,-8.9289,13.2995,10,1.5155905,1.0,D,1.5573357343673706
angola,2015,4,-14.2876,17.6217,26,-0.5591352,0.0,B,-0.25006332993507385
angola,2015,5,-14.211,13.5463,26,-1.1861184,0.0,B,-0.3610224425792694
angola,2015,6,-5.562,12.2115,25,1.5846177,1.0,D,1.3449796438217163
angola,2015,7,-5.5802,12.1912,25,1.6973333,1.0,D,1.2671366930007935
angola,2015,8,-12.3533,14.7787,22,0.08311084,1.0,D,0.020199282094836235
angola,2015,9,-11.6102,14.4608,25,-0.95577794,0.0,E,-0.7447993159294128
angola,2015,10,-8.8282,13.3354,25,1.2438675,1.0,D,1.5555616617202759
angola,2015,11,-8.8888,13.3532,23,1.7684237,1.0,D,1.4624627828598022
angola,2015,12,-14.2364,12.4154,23,-0.4440743,0.0,C,-0.615561306476593
angola,2015,13,-9.0969,15.7412,26,-1.061425,0.0,C,-0.8935174345970154
angola,2015,14,-14.6667,17.6867,26,-0.10826232,1.0,E,0.7757124304771423
angola,2015,15,-14.9218,13.5108,26,1.714279,1.0,C,1.1802988052368164
angola,2015,16,-8.9085,20.2594,26,-1.2488078,0.0,E,-0.8011273145675659
angola,2015,17,-12.2757,16.0263,26,-0.8464668,0.0,E,-0.7363752126693726
angola,2015,18,-9.5535,16.3891,26,1.148126,1.0,D,0.41468164324760437
angola,2015,19,-13.7052,14.5974,26,-1.0938611,0.0,D,-0.22001509368419647
angola,2015,20,-15.3413,21.4856,26,-1.036482,0.0,D,-0.6350886225700378
angola,2015,21,-8.6971,19.7275,26,-1.3568355,0.0,D,-0.6667261719703674
angola,2015,22,-7.3742,20.8097,23,1.8061017,1.0,E,0.7148131728172302
angola,2015,23,-8.9106,13.455,24,0.68549305,0.0,D,0.8236058950424194
angola,2015,24,-10.5612,17.4244,26,-0.7654207,0.0,D,-0.8747051954269409
angola,2015,25,-8.8813,13.3151,26,1.7518587,1.0,D,1.4654788970947266
angola,2015,26,-6.8195,13.3273,19,0.82195,1.0,B,0.5448305606842041
angola,2015,27,-10.1519,19.2647,26,-0.54857486,1.0,A,-0.3973817527294159
angola,2015,28,-8.4612,20.7153,25,-0.2809092,1.0,B,0.3048400580883026
angola,2015,29,-10.4035,15.5296,16,-0.79047894,0.0,D,-0.5721480846405029
angola,2015,30,-9.6435,20.4052,26,-0.1320091,1.0,E,0.8546342849731445
angola,2015,31,-12.379,16.9205,25,0.3179624,1.0,E,0.7176432609558105
angola,2015,32,-14.3388,14.9556,26,-0.6996906,0.0,C,-0.42525607347488403
angola,2015,33,-8.8839,13.2206,22,1.4792907,1.0,D,1.6065211296081543
angola,2015,34,-8.5864,13.6568,26,1.3120643,1.0,D,1.0204763412475586
angola,2015,35,-9.6747,20.3792,26,-0.24261852,1.0,E,0.7628018856048584
angola,2015,36,-9.5316,16.3341,26,1.3783981,1.0,D,0.3931964933872223
angola,2015,37,-13.2682,16.287,23,-1.1094804,0.0,B,-0.7370914220809937
angola,2015,38,-12.5381,13.4862,23,1.1166149,1.0,A,0.5715301632881165
angola,2015,39,-10.0803,17.557,23,-0.4235197,1.0,C,-0.39432457089424133
angola,2015,40,-13.9708,13.6815,26,-1.2127905,0.0,A,-0.4540567398071289
angola,2015,41,-14.7447,17.7235,26,-0.7996687,0.0,E,-0.3800742030143738
angola,2015,42,-8.9246,13.1722,26,1.9214829,1.0,D,1.6305330991744995
angola,2015,43,-9.046,16.0007,25,-0.69698584,0.0,C,-0.9184903502464294
angola,2015,44,-8.8795,13.2951,15,1.7813367,1.0,D,1.646512746810913
angola,2015,45,-9.6854,14.4415,23,1.1525501,1.0,D,0.7983115315437317
angola,2015,46,-12.4733,14.1567,23,-0.8073603,1.0,D,0.1710321009159088
angola,2015,47,-15.21,12.1648,26,0.36473402,1.0,A,0.838204562664032
angola,2015,48,-13.5924,13.9466,24,0.19777896,1.0,B,-0.29750052094459534
angola,2015,49,-15.117,12.1504,25,-0.1559202,1.0,A,0.5455949306488037
angola,2015,50,-17.0487,16.5032,26,-1.052314,0.0,C,-0.6955352425575256
angola,2015,51,-8.466,15.2607,24,-0.44262567,1.0,C,-0.2589338719844818
angola,2015,52,-11.1126,23.7081,18,-0.77709967,0.0,C,-0.8863067626953125
angola,2015,53,-6.1491,12.3593,17,0.8641911,1.0,D,1.3611013889312744
angola,2015,54,-9.6771,20.3958,26,0.76602787,1.0,E,0.8946750164031982
angola,2015,55,-6.2578,14.2154,18,-0.0072116815,1.0,B,0.6157546639442444
angola,2015,56,-10.8994,16.0914,19,-0.6128539,0.0,B,-0.7583714723587036
angola,2015,57,-6.1072,14.6288,25,-0.0651742,1.0,A,-0.13216851651668549
angola,2015,58,-9.5512,16.36,23,1.1340973,1.0,D,0.8400172591209412
angola,2015,59,-12.7573,15.7567,20,1.8371692,1.0,B,0.8992250561714172
angola,2015,60,-8.4241,20.7358,23,0.6838541,1.0,B,0.2520672082901001
angola,2015,61,-15.1866,12.172,26,1.611539,1.0,A,0.7638151049613953
angola,2015,62,-12.6476,13.3773,25,0.9292605,1.0,A,0.16401508450508118
angola,2015,63,-9.004,20.4129,26,-0.77181244,0.0,A,-0.7954548597335815
