country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold,predicted_wealth
angola,2015,1,-12.1014,14.1407,26,-1.1326385,0.0,D,-0.5930658578872681
angola,2015,2,-9.6635,20.377,26,0.6698427,1.0,E,0.8154016137123108
angola,2015,3,-8.9289,13.2995,10,1.5155905,1.0,D,1.2660070657730103
angola,2015,4,-14.2876,17.6217,26,-0.5591352,0.0,B,-0.3970745801925659
angola,2015,5,-14.211,13.5463,26,-1.1861184,0.0,B,-0.5639124512672424
angola,2015,6,-5.562,12.2115,25,1.5846177,1.0,D,1.2015509605407715
angola,2015,7,-5.5802,12.1912,25,1.6973333,1.0,D,1.2130804061889648
angola,2015,8,-12.3533,14.7787,22,0.08311084,1.0,D,0.48478737473487854
angola,2015,9,-11.6102,14.4608,25,-0.95577794,0.0,E,-0.7097947597503662
angola,2015,10,-8.8282,13.3354,25,1.2438675,1.0,D,1.1711722612380981
angola,2015,11,-8.8888,13.3532,23,1.7684237,1.0,D,1.1366246938705444
angola,2015,12,-14.2364,12.4154,23,-0.4440743,0.0,C,-0.4182193875312805
angola,2015,13,-9.0969,15.7412,26,-1.061425,0.0,C,-0.8851224184036255
angola,2015,14,-14.6667,17.6867,26,-0.10826232,1.0,E,0.9472692608833313
angola,2015,15,-14.9218,13.5108,26,1.714279,1.0,C,1.3108198642730713
angola,2015,16,-8.9085,20.2594,26,-1.2488078,0.0,E,-0.7179363369941711
angola,2015,17,-12.2757,16.0263,26,-0.8464668,0.0,E,-0.773601233959198
angola,2015,18,-9.5535,16.3891,26,1.148126,1.0,D,0.48612481355667114
angola,2015,19,-13.7052,14.5974,26,-1.0938611,0.0,D,-0.46406421065330505
angola,2015,20,-15.3413,21.4856,26,-1.036482,0.0,D,-0.7318859696388245
angola,2015,21,-8.6971,19.7275,26,-1.3568355,0.0,D,-0.6979274153709412
angola,2015,22,-7.3742,20.8097,23,1.8061017,1.0,E,0.7991487979888916
angola,2015,23,-8.9106,13.455,24,0.68549305,0.0,D,0.5062693953514099
angola,2015,24,-10.5612,17.4244,26,-0.7654207,0.0,D,-0.7964786291122437
angola,2015,25,-8.8813,13.3151,26,1.7518587,1.0,D,1.1750439405441284
angola,2015,26,-6.8195,13.3273,19,0.82195,1.0,B,0.40904006361961365
angola,2015,27,-10.1519,19.2647,26,-0.54857486,1.0,A,-0.035366740077733994
angola,2015,28,-8.4612,20.7153,25,-0.2809092,1.0,B,0.742564857006073
angola,2015,29,-10.4035,15.5296,16,-0.79047894,0.0,D,-0.8914048075675964
angola,2015,30,-9.6435,20.4052,26,-0.1320091,1.0,E,0.8497821092605591
angola,2015,31,-12.379,16.9205,25,0.3179624,1.0,E,0.6862612366676331
angola,2015,32,-14.3388,14.9556,26,-0.6996906,0.0,C,-0.5879608392715454
angola,2015,33,-8.8839,13.2206,22,1.4792907,1.0,D,1.285596489906311
angola,2015,34,-8.5864,13.6568,26,1.3120643,1.0,D,0.8465211391448975
angola,2015,35,-9.6747,20.3792,26,-0.24261852,1.0,E,0.7758370041847229
angola,2015,36,-9.5316,16.3341,26,1.3783981,1.0,D,0.6813594698905945
angola,2015,37,-13.2682,16.287,23,-1.1094804,0.0,B,-0.8259194493293762
angola,2015,38,-12.5381,13.4862,23,1.1166149,1.0,A,0.4541358947753906
angola,2015,39,-10.0803,17.557,23,-0.4235197,1.0,C,-0.5277175307273865
angola,2015,40,-13.9708,13.6815,26,-1.2127905,0.0,A,-0.6291027665138245
angola,2015,41,-14.7447,17.7235,26,-0.7996687,0.0,E,-0.5993663668632507
angola,2015,42,-8.9246,13.1722,26,1.9214829,1.0,D,1.4036463499069214
angola,2015,43,-9.046,16.0007,25,-0.69698584,0.0,C,-0.8540939688682556
angola,2015,44,-8.8795,13.2951,15,1.7813367,1.0,D,1.318296194076538
angola,2015,45,-9.6854,14.4415,23,1.1525501,1.0,D,0.9239534735679626
angola,2015,46,-12.4733,14.1567,23,-0.8073603,1.0,D,0.0437152236700058
angola,2015,47,-15.21,12.1648,26,0.36473402,1.0,A,1.1903640031814575
angola,2015,48,-13.5924,13.9466,24,0.19777896,1.0,B,-0.43820998072624207
angola,2015,49,-15.117,12.1504,25,-0.1559202,1.0,A,0.6468443274497986
angola,2015,50,-17.0487,16.5032,26,-1.052314,0.0,C,-0.7764052748680115
angola,2015,51,-8.466,15.2607,24,-0.44262567,1.0,C,-0.43335404992103577
angola,2015,52,-11.1126,23.7081,18,-0.77709967,0.0,C,-0.8011620044708252
angola,2015,53,-6.1491,12.3593,17,0.8641911,1.0,D,1.1376487016677856
angola,2015,54,-9.6771,20.3958,26,0.76602787,1.0,E,1.1438125371932983
angola,2015,55,-6.2578,14.2154,18,-0.0072116815,1.0,B,0.7343019247055054
angola,2015,56,-10.8994,16.0914,19,-0.6128539,0.0,B,-0.7123296856880188
angola,2015,57,-6.1072,14.6288,25,-0.0651742,1.0,A,0.17165714502334595
angola,2015,58,-9.5512,16.36,23,1.1340973,1.0,D,1.0279406309127808
angola,2015,59,-12.7573,15.7567,20,1.8371692,1.0,B,0.9536001682281494
angola,2015,60,-8.4241,20.7358,23,0.6838541,1.0,B,0.48616838455200195
angola,2015,61,-15.1866,12.172,26,1.611539,1.0,A,0.7488587498664856
angola,2015,62,-12.6476,13.3773,25,0.9292605,1.0,A,0.30813711881637573
angola,2015,63,-9.004,20.4129,26,-0.77181244,0.0,A,-0.6309583187103271
angola,2015,64,-8.7808,18.0038,20,-0.4809178,1.0,A,0.13481901586055756
angola,2015,65,-17.1931,15.5905,24,-0.77288526,0.0,B,-0.31176114082336426
angola,2015,66,-8.8084,13.3367,21,1.2478139,1.0,D,1.1519336700439453
angola,2015,67,-4.7662,12.5107,21,0.51015,0.0,B,0.10666343569755554
angola,2015,68,-8.8454,13.3269,26,1.3035235,1.0,D,1.2024654150009155
angola,2015,69,-8.8889,13.4836,26,2.115924,1.0,D,1.0150201320648193
angola,2015,70,-15.2246,12.176,25,0.48588473,1.0,A,0.7225582599639893
angola,2015,71,-6.1369,12.3547,20,0.3528143,1.0,D,1.2897518873214722
angola,2015,72,-9.3201,14.9061,25,1.3553777,1.0,C,0.7264041900634766
angola,2015,73,-11.7567,19.9221,22,0.46677342,1.0,A,0.7879737019538879
angola,2015,74,-6.1425,12.3597,20,0.91475946,1.0,D,0.9803837537765503
angola,2015,75,-7.4871,16.2254,26,-1.0396798,0.0,D,-0.8433324098587036
angola,2015,76,-8.6153,13.5468,25,1.0188468,0.0,D,0.3916648030281067
angola,2015,77,-4.6535,12.7314,17,0.23624001,0.0,A,0.1291898488998413
angola,2015,78,-6.6133,15.7763,25,-1.0000894,0.0,B,-0.5062190294265747
angola,2015,79,-15.6448,20.8918,25,-0.7446426,0.0,D,-0.7206416130065918
angola,2015,80,-8.4419,20.7178,25,-0.5438789,1.0,B,0.5677571892738342
angola,2015,81,-12.5861,13.4277,25,1.4651384,1.0,A,1.0573782920837402
angola,2015,82,-5.6015,12.1918,25,1.5684042,1.0,D,1.357715368270874
angola,2015,83,-15.2006,12.1687,26,1.3404804,1.0,A,1.1182938814163208
angola,2015,84,-17.9576,20.9381,26,-1.1475629,0.0,C,-0.32910147309303284
angola,2015,85,-10.7101,22.2136,21,-0.3310722,1.0,D,0.6424947381019592
angola,2015,86,-11.7758,19.9003,26,1.2820568,1.0,A,1.0701136589050293
angola,2015,87,-12.4318,16.7782,16,-0.5224841,0.0,C,-0.6625487804412842
angola,2015,88,-15.1426,12.1774,24,0.76053286,1.0,A,0.317821204662323
angola,2015,89,-17.7782,19.1873,26,-0.9101664,0.0,C,-0.40780872106552124
angola,2015,90,-15.0142,19.0301,26,-1.2799233,0.0,C,-0.7275118231773376
angola,2015,91,-12.5287,15.8097,23,-0.10018103,0.0,E,-0.6195709705352783
angola,2015,92,-15.8002,11.8588,26,1.157022,1.0,E,0.27579715847969055
angola,2015,93,-9.3303,14.2435,26,-0.89736354,0.0,A,-0.46286487579345703
angola,2015,94,-7.6179,15.0225,21,1.214196,1.0,C,0.5361666679382324
angola,2015,95,-9.5628,16.3247,26,-0.19208717,0.0,D,0.581030547618866
angola,2015,96,-13.8198,21.4856,26,-1.1124182,0.0,A,-0.24080398678779602
angola,2015,97,-13.0596,15.7828,26,-0.6025195,0.0,E,-0.7655155062675476
angola,2015,98,-6.3625,16.4145,21,-1.25081,0.0,B,-0.8570182919502258
angola,2015,100,-15.186,12.1601,26,1.9082205,1.0,A,1.1066348552703857
angola,2015,101,-9.2686,15.2293,23,0.62846315,1.0,E,-0.23401038348674774
angola,2015,102,-12.4722,16.4704,26,-0.95384896,0.0,E,-0.662186324596405
angola,2015,103,-13.3612,14.1309,26,-1.0897921,0.0,A,-0.3692309856414795
angola,2015,104,-7.5165,15.6997,26,-0.94737977,0.0,A,-0.7959019541740417
angola,2015,105,-6.0219,15.7578,26,-1.1558936,0.0,D,-0.5921474099159241
angola,2015,106,-14.748,14.9796,19,1.2346643,0.0,D,0.4007590115070343
angola,2015,107,-17.0336,14.8247,25,-1.2498082,0.0,C,-0.25057390332221985
angola,2015,108,-9.0193,13.1141,26,1.0378938,0.0,D,0.8518127799034119
angola,2015,109,-9.537,17.7887,20,-0.76109964,0.0,E,-0.685632050037384
angola,2015,110,-17.2945,16.029,26,-1.0014055,0.0,B,-0.163622185587883
angola,2015,111,-7.3998,20.8228,16,0.742146,1.0,E,0.8416651487350464
angola,2015,112,-8.9104,13.2644,26,1.9796988,1.0,D,1.0994714498519897
angola,2015,113,-9.0274,13.3867,18,1.0735768,1.0,D,0.9289197325706482
angola,2015,114,-16.1805,15.7859,26,-0.81663275,0.0,D,-0.47632333636283875
angola,2015,115,-7.2201,12.8658,25,0.35613403,1.0,D,0.7164638042449951
angola,2015,116,-16.7589,15.8777,26,-0.8042274,0.0,A,-0.6898444294929504
angola,2015,117,-6.364,16.6573,24,-1.1708288,0.0,B,-0.9274089336395264
angola,2015,118,-7.62,16.1776,26,-1.214926,0.0,D,-0.7695510983467102
angola,2015,119,-7.5941,15.039,25,0.6087864,0.0,C,0.7584143877029419
angola,2015,120,-13.0423,14.2634,26,-0.24868518,1.0,C,0.29922953248023987
angola,2015,121,-5.6075,12.2008,25,0.9120639,1.0,D,1.0390963554382324
angola,2015,122,-11.9703,14.0635,25,-0.69833195,0.0,D,-0.7766094207763672
angola,2015,123,-11.8667,15.5413,26,-0.6302756,0.0,A,-0.7899428009986877
angola,2015,124,-5.5934,12.2061,21,1.7059335,1.0,D,1.177551507949829
angola,2015,125,-8.7517,15.3807,26,0.6427256,0.0,B,-0.6164951324462891
angola,2015,126,-8.8047,13.285,26,1.6112494,1.0,D,1.2349193096160889
angola,2015,127,-12.1261,17.6112,26,-1.309817,0.0,A,-0.91939777135849
angola,2015,128,-9.6793,14.4278,22,1.0624796,1.0,D,0.80729740858078
angola,2015,129,-8.5465,15.3115,25,-0.6428413,0.0,A,-0.6116201281547546
angola,2015,130,-11.3689,16.1364,26,-1.0093243,0.0,E,-0.7673193216323853
angola,2015,131,-12.2258,20.3749,26,-1.1541167,0.0,A,-0.3251446485519409
angola,2015,132,-5.5636,12.2102,23,1.3425356,1.0,D,1.196556806564331
angola,2015,133,-9.6696,20.3678,21,-0.4987446,1.0,E,0.5367687344551086
angola,2015,134,-8.8061,13.2777,26,1.6770731,1.0,D,1.2252764701843262
angola,2015,135,-8.5898,13.6408,23,1.198,1.0,D,0.6900514960289001
angola,2015,136,-10.9561,14.5875,25,-0.7880734,1.0,B,-0.446698397397995
angola,2015,137,-16.3188,12.6138,25,-1.3383317,0.0,C,-0.28763315081596375
angola,2015,138,-8.8801,13.3855,24,1.6867499,1.0,D,1.0082088708877563
angola,2015,139,-15.599,13.4173,25,-1.2410597,0.0,E,-0.5328295826911926
angola,2015,140,-12.2222,16.6447,26,-0.48912865,0.0,B,-0.7005599141120911
angola,2015,141,-6.0693,15.1273,24,0.2455826,1.0,E,-0.22571201622486115
angola,2015,142,-12.7489,15.6837,25,0.31842086,1.0,B,0.25701040029525757
angola,2015,143,-8.886,13.2946,23,0.8474821,1.0,D,1.295105218887329
angola,2015,144,-12.7576,15.7358,24,0.24092889,1.0,B,1.073297381401062
angola,2015,145,-12.7452,15.7684,21,0.13460636,1.0,B,0.8665616512298584
angola,2015,146,-9.4848,20.377,26,-0.89061797,0.0,D,-0.4738042652606964
angola,2015,147,-17.371,15.8907,22,0.07701314,1.0,D,0.805109441280365
angola,2015,148,-15.1902,12.1856,26,0.47193128,1.0,A,0.5033025145530701
angola,2015,149,-11.6681,14.1477,24,-1.0834582,0.0,B,-0.7561234831809998
angola,2015,150,-11.8903,16.9844,26,-1.0334173,0.0,A,-0.6207205653190613
angola,2015,151,-7.2395,12.8803,25,0.3867296,1.0,D,0.39618369936943054
angola,2015,152,-6.1268,12.3407,22,1.3528467,1.0,D,1.2817821502685547
angola,2015,153,-11.7507,19.654,25,-0.8337672,0.0,A,-0.8071251511573792
angola,2015,154,-11.6533,20.5188,26,-0.87705535,0.0,D,-0.6179854273796082
angola,2015,155,-15.178,13.7562,26,-0.6290587,0.0,E,-0.5491620302200317
angola,2015,156,-8.8782,13.2284,16,1.3878754,1.0,D,1.280808687210083
angola,2015,157,-14.1347,13.5397,26,-1.0047325,0.0,B,-0.6291670799255371
angola,2015,158,-7.7184,14.1226,21,-0.9936902,0.0,E,-0.6134437322616577
angola,2015,159,-11.0303,17.0568,26,-0.6014915,0.0,E,-0.6127666234970093
angola,2015,160,-6.1366,12.3799,22,0.69606566,1.0,D,1.0429534912109375
angola,2015,161,-14.6688,17.6605,25,0.11880404,1.0,E,0.8205696940422058
angola,2015,162,-5.6325,12.1757,25,1.0082599,1.0,D,0.6632757782936096
angola,2015,163,-8.7635,13.3029,26,1.5605417,1.0,D,1.0100291967391968
angola,2015,164,-14.9498,13.4733,26,0.727335,1.0,C,1.1393369436264038
angola,2015,165,-13.1662,15.1963,26,-0.55000144,0.0,E,-0.6572839617729187
angola,2015,166,-16.7091,15.8396,23,-0.7999896,0.0,A,-0.6715131402015686
angola,2015,167,-8.9775,13.1576,22,0.69526017,1.0,D,1.2849012613296509
angola,2015,168,-7.5639,15.0184,25,-0.68891245,1.0,C,0.4240317642688751
angola,2015,169,-8.5925,13.6544,19,1.2601187,1.0,D,0.7854466438293457
angola,2015,170,-15.1885,12.1525,26,1.8187321,1.0,A,1.2666672468185425
angola,2015,171,-12.3714,13.5906,23,1.5828836,1.0,E,1.0868843793869019
angola,2015,172,-13.6192,14.6872,26,-0.7904548,0.0,E,-0.5936822295188904
