country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold,predicted_wealth
angola,2015,1,-12.1014,14.1407,26,-1.1326385,0.0,D,-0.3779725432395935
angola,2015,2,-9.6635,20.377,26,0.6698427,1.0,E,-0.725256621837616
angola,2015,3,-8.9289,13.2995,10,1.5155905,1.0,D,-0.1701909750699997
angola,2015,4,-14.2876,17.6217,26,-0.5591352,0.0,B,-0.13275204598903656
angola,2015,5,-14.211,13.5463,26,-1.1861184,0.0,B,-0.07410954684019089
angola,2015,6,-5.562,12.2115,25,1.5846177,1.0,D,0.2470027208328247
angola,2015,7,-5.5802,12.1912,25,1.6973333,1.0,D,0.2470027208328247
angola,2015,8,-12.3533,14.7787,22,0.08311084,1.0,D,-0.180497944355011
angola,2015,9,-11.6102,14.4608,25,-0.95577794,0.0,E,-0.391898512840271
angola,2015,10,-8.8282,13.3354,25,1.2438675,1.0,D,-0.18955080211162567
angola,2015,11,-8.8888,13.3532,23,1.7684237,1.0,D,-0.19189684092998505
angola,2015,12,-14.2364,12.4154,23,-0.4440743,0.0,C,0.4603821039199829
angola,2015,13,-9.0969,15.7412,26,-1.061425,0.0,C,-0.27122193574905396
angola,2015,14,-14.6667,17.6867,26,-0.10826232,1.0,E,-0.42275792360305786
angola,2015,15,-14.9218,13.5108,26,1.714279,1.0,C,-0.16005262732505798
angola,2015,16,-8.9085,20.2594,26,-1.2488078,0.0,E,-0.8741722106933594
angola,2015,17,-12.2757,16.0263,26,-0.8464668,0.0,E,-0.3144996762275696
angola,2015,18,-9.5535,16.3891,26,1.148126,1.0,D,-0.10706506669521332
angola,2015,19,-13.7052,14.5974,26,-1.0938611,0.0,D,-0.12938781082630157
angola,2015,20,-15.3413,21.4856,26,-1.036482,0.0,D,-0.3945200443267822
angola,2015,21,-8.6971,19.7275,26,-1.3568355,0.0,D,-0.8526792526245117
angola,2015,22,-7.3742,20.8097,23,1.8061017,1.0,E,-1.1896361112594604
angola,2015,23,-8.9106,13.455,24,0.68549305,0.0,D,-0.19024400413036346
angola,2015,24,-10.5612,17.4244,26,-0.7654207,0.0,D,-0.610877513885498
angola,2015,25,-8.8813,13.3151,26,1.7518587,1.0,D,-0.18248529732227325
angola,2015,26,-6.8195,13.3273,19,0.82195,1.0,B,-0.45476943254470825
angola,2015,27,-10.1519,19.2647,26,-0.54857486,1.0,A,-0.555961012840271
angola,2015,28,-8.4612,20.7153,25,-0.2809092,1.0,B,-0.8752962350845337
angola,2015,29,-10.4035,15.5296,16,-0.79047894,0.0,D,-0.12367768585681915
angola,2015,30,-9.6435,20.4052,26,-0.1320091,1.0,E,-0.7401710748672485
angola,2015,31,-12.379,16.9205,25,0.3179624,1.0,E,-0.4924112558364868
