country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold,predicted_wealth
angola,2015,1,-12.1014,14.1407,26,-1.1326385,0.0,D,-0.7183334231376648
angola,2015,2,-9.6635,20.377,26,0.6698427,1.0,E,0.7083380222320557
angola,2015,3,-8.9289,13.2995,10,1.5155905,1.0,D,1.1560736894607544
angola,2015,4,-14.2876,17.6217,26,-0.5591352,0.0,B,-0.3883744180202484
angola,2015,5,-14.211,13.5463,26,-1.1861184,0.0,B,-0.48348677158355713
angola,2015,6,-5.562,12.2115,25,1.5846177,1.0,D,1.0500060319900513
angola,2015,7,-5.5802,12.1912,25,1.6973333,1.0,D,1.0736709833145142
angola,2015,8,-12.3533,14.7787,22,0.08311084,1.0,D,0.23738352954387665
angola,2015,9,-11.6102,14.4608,25,-0.95577794,0.0,E,-0.7565480470657349
angola,2015,10,-8.8282,13.3354,25,1.2438675,1.0,D,1.0775783061981201
angola,2015,11,-8.8888,13.3532,23,1.7684237,1.0,D,0.9781677722930908
angola,2015,12,-14.2364,12.4154,23,-0.4440743,0.0,C,-0.3902187943458557
angola,2015,13,-9.0969,15.7412,26,-1.061425,0.0,C,-0.6708667874336243
angola,2015,14,-14.6667,17.6867,26,-0.10826232,1.0,E,0.7085046172142029
angola,2015,15,-14.9218,13.5108,26,1.714279,1.0,C,0.7781042456626892
angola,2015,16,-8.9085,20.2594,26,-1.2488078,0.0,E,-0.7785065770149231
angola,2015,17,-12.2757,16.0263,26,-0.8464668,0.0,E,-0.6792606115341187
angola,2015,18,-9.5535,16.3891,26,1.148126,1.0,D,1.0180418491363525
angola,2015,19,-13.7052,14.5974,26,-1.0938611,0.0,D,-0.6249467134475708
angola,2015,20,-15.3413,21.4856,26,-1.036482,0.0,D,-0.6135730147361755
angola,2015,21,-8.6971,19.7275,26,-1.3568355,0.0,D,-0.6021311283111572
angola,2015,22,-7.3742,20.8097,23,1.8061017,1.0,E,0.8097853660583496
angola,2015,23,-8.9106,13.455,24,0.68549305,0.0,D,1.0605789422988892
angola,2015,24,-10.5612,17.4244,26,-0.7654207,0.0,D,-0.76002037525177
angola,2015,25,-8.8813,13.3151,26,1.7518587,1.0,D,0.9424946308135986
angola,2015,26,-6.8195,13.3273,19,0.82195,1.0,B,0.2161150574684143
angola,2015,27,-10.1519,19.2647,26,-0.54857486,1.0,A,-0.2871094048023224
angola,2015,28,-8.4612,20.7153,25,-0.2809092,1.0,B,0.1840234249830246
angola,2015,29,-10.4035,15.5296,16,-0.79047894,0.0,D,-0.6191626191139221
angola,2015,30,-9.6435,20.4052,26,-0.1320091,1.0,E,0.6036737561225891
angola,2015,31,-12.379,16.9205,25,0.3179624,1.0,E,0.69307541847229
angola,2015,32,-14.3388,14.9556,26,-0.6996906,0.0,C,-0.6326510906219482
angola,2015,33,-8.8839,13.2206,22,1.4792907,1.0,D,1.4077694416046143
