country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold,predicted_wealth
angola,2015,1,-12.1014,14.1407,26,-1.1326385,0.0,D,0.7796464562416077
angola,2015,2,-9.6635,20.377,26,0.6698427,1.0,E,0.2772518992424011
angola,2015,3,-8.9289,13.2995,10,1.5155905,1.0,D,-0.04910161718726158
angola,2015,4,-14.2876,17.6217,26,-0.5591352,0.0,B,0.4276478886604309
angola,2015,5,-14.211,13.5463,26,-1.1861184,0.0,B,-0.0933963805437088
angola,2015,6,-5.562,12.2115,25,1.5846177,1.0,D,0.10663360357284546
angola,2015,7,-5.5802,12.1912,25,1.6973333,1.0,D,0.006178591400384903
angola,2015,8,-12.3533,14.7787,22,0.08311084,1.0,D,0.1352962702512741
angola,2015,9,-11.6102,14.4608,25,-0.95577794,0.0,E,0.8701087236404419
angola,2015,10,-8.8282,13.3354,25,1.2438675,1.0,D,0.1315002143383026
angola,2015,11,-8.8888,13.3532,23,1.7684237,1.0,D,0.21010518074035645
angola,2015,12,-14.2364,12.4154,23,-0.4440743,0.0,C,-0.1665581464767456
angola,2015,13,-9.0969,15.7412,26,-1.061425,0.0,C,-0.17932482063770294
angola,2015,14,-14.6667,17.6867,26,-0.10826232,1.0,E,0.2957442104816437
angola,2015,15,-14.9218,13.5108,26,1.714279,1.0,C,0.2795236110687256
angola,2015,16,-8.9085,20.2594,26,-1.2488078,0.0,E,0.18547017872333527
angola,2015,17,-12.2757,16.0263,26,-0.8464668,0.0,E,0.2625538110733032
angola,2015,18,-9.5535,16.3891,26,1.148126,1.0,D,0.8587759137153625
angola,2015,19,-13.7052,14.5974,26,-1.0938611,0.0,D,0.8605896234512329
angola,2015,20,-15.3413,21.4856,26,-1.036482,0.0,D,-0.06506523489952087
angola,2015,21,-8.6971,19.7275,26,-1.3568355,0.0,D,0.2723191976547241
angola,2015,22,-7.3742,20.8097,23,1.8061017,1.0,E,-0.026422370225191116
angola,2015,23,-8.9106,13.455,24,0.68549305,0.0,D,-0.3640342652797699
angola,2015,24,-10.5612,17.4244,26,-0.7654207,0.0,D,0.8830407857894897
angola,2015,25,-8.8813,13.3151,26,1.7518587,1.0,D,0.12643641233444214
angola,2015,26,-6.8195,13.3273,19,0.82195,1.0,B,-0.05915438011288643
angola,2015,27,-10.1519,19.2647,26,-0.54857486,1.0,A,0.17124977707862854
angola,2015,28,-8.4612,20.7153,25,-0.2809092,1.0,B,0.27423128485679626
angola,2015,29,-10.4035,15.5296,16,-0.79047894,0.0,D,0.8392686247825623
angola,2015,30,-9.6435,20.4052,26,-0.1320091,1.0,E,0.512009859085083
angola,2015,31,-12.379,16.9205,25,0.3179624,1.0,E,0.07578924298286438
angola,2015,32,-14.3388,14.9556,26,-0.6996906,0.0,C,0.07869037985801697
angola,2015,33,-8.8839,13.2206,22,1.4792907,1.0,D,0.6085628271102905
angola,2015,34,-8.5864,13.6568,26,1.3120643,1.0,D,-0.12860767543315887
angola,2015,35,-9.6747,20.3792,26,-0.24261852,1.0,E,0.3303491771221161
angola,2015,36,-9.5316,16.3341,26,1.3783981,1.0,D,0.5383053421974182
angola,2015,37,-13.2682,16.287,23,-1.1094804,0.0,B,0.13646194338798523
angola,2015,38,-12.5381,13.4862,23,1.1166149,1.0,A,-0.21741722524166107
angola,2015,39,-10.0803,17.557,23,-0.4235197,1.0,C,0.8198477029800415
angola,2015,40,-13.9708,13.6815,26,-1.2127905,0.0,A,-0.030511509627103806
angola,2015,41,-14.7447,17.7235,26,-0.7996687,0.0,E,0.22346225380897522
angola,2015,42,-8.9246,13.1722,26,1.9214829,1.0,D,0.43263915181159973
angola,2015,43,-9.046,16.0007,25,-0.69698584,0.0,C,-0.15798209607601166
angola,2015,44,-8.8795,13.2951,15,1.7813367,1.0,D,0.3434910774230957
angola,2015,45,-9.6854,14.4415,23,1.1525501,1.0,D,0.0055170319974422455
angola,2015,46,-12.4733,14.1567,23,-0.8073603,1.0,D,-0.12121397256851196
angola,2015,47,-15.21,12.1648,26,0.36473402,1.0,A,0.36925724148750305
angola,2015,48,-13.5924,13.9466,24,0.19777896,1.0,B,0.9161860346794128
angola,2015,49,-15.117,12.1504,25,-0.1559202,1.0,A,0.6923605799674988
angola,2015,50,-17.0487,16.5032,26,-1.052314,0.0,C,0.9122318625450134
angola,2015,51,-8.466,15.2607,24,-0.44262567,1.0,C,-0.04889850690960884
angola,2015,52,-11.1126,23.7081,18,-0.77709967,0.0,C,0.17432977259159088
angola,2015,53,-6.1491,12.3593,17,0.8641911,1.0,D,0.01605909690260887
angola,2015,54,-9.6771,20.3958,26,0.76602787,1.0,E,0.4310774803161621
angola,2015,55,-6.2578,14.2154,18,-0.0072116815,1.0,B,-0.23032724857330322
angola,2015,56,-10.8994,16.0914,19,-0.6128539,0.0,B,0.21623675525188446
angola,2015,57,-6.1072,14.6288,25,-0.0651742,1.0,A,0.4160420000553131
angola,2015,58,-9.5512,16.36,23,1.1340973,1.0,D,0.6327069997787476
angola,2015,59,-12.7573,15.7567,20,1.8371692,1.0,B,-0.11823567748069763
angola,2015,60,-8.4241,20.7358,23,0.6838541,1.0,B,0.23299358785152435
angola,2015,61,-15.1866,12.172,26,1.611539,1.0,A,0.47966185212135315
angola,2015,62,-12.6476,13.3773,25,0.9292605,1.0,A,-0.3378708064556122
angola,2015,63,-9.004,20.4129,26,-0.77181244,0.0,A,0.22185374796390533
angola,2015,64,-8.7808,18.0038,20,-0.4809178,1.0,A,-0.1684524118900299
angola,2015,65,-17.1931,15.5905,24,-0.77288526,0.0,B,-0.161187082529068
angola,2015,66,-8.8084,13.3367,21,1.2478139,1.0,D,-0.0007131285965442657
angola,2015,67,-4.7662,12.5107,21,0.51015,0.0,B,-0.048626888543367386
angola,2015,68,-8.8454,13.3269,26,1.3035235,1.0,D,0.09428584575653076
angola,2015,69,-8.8889,13.4836,26,2.115924,1.0,D,-0.13727311789989471
angola,2015,70,-15.2246,12.176,25,0.48588473,1.0,A,1.0166430473327637
angola,2015,71,-6.1369,12.3547,20,0.3528143,1.0,D,-1.104554295539856
angola,2015,72,-9.3201,14.9061,25,1.3553777,1.0,C,0.43208035826683044
angola,2015,73,-11.7567,19.9221,22,0.46677342,1.0,A,0.7913030982017517
angola,2015,74,-6.1425,12.3597,20,0.91475946,1.0,D,-0.26051926612854004
angola,2015,75,-7.4871,16.2254,26,-1.0396798,0.0,D,-0.11007983982563019
angola,2015,76,-8.6153,13.5468,25,1.0188468,0.0,D,-0.22827117145061493
angola,2015,77,-4.6535,12.7314,17,0.23624001,0.0,A,0.511086106300354
angola,2015,78,-6.6133,15.7763,25,-1.0000894,0.0,B,0.7529351115226746
angola,2015,79,-15.6448,20.8918,25,-0.7446426,0.0,D,0.2615370452404022
angola,2015,80,-8.4419,20.7178,25,-0.5438789,1.0,B,0.22178228199481964
angola,2015,81,-12.5861,13.4277,25,1.4651384,1.0,A,-0.15755484998226166
angola,2015,82,-5.6015,12.1918,25,1.5684042,1.0,D,0.006140265613794327
angola,2015,83,-15.2006,12.1687,26,1.3404804,1.0,A,0.35508105158805847
angola,2015,84,-17.9576,20.9381,26,-1.1475629,0.0,C,-0.08422592282295227
angola,2015,85,-10.7101,22.2136,21,-0.3310722,1.0,D,-0.0289180688560009
angola,2015,86,-11.7758,19.9003,26,1.2820568,1.0,A,0.5451153516769409
angola,2015,87,-12.4318,16.7782,16,-0.5224841,0.0,C,0.6557328104972839
angola,2015,88,-15.1426,12.1774,24,0.76053286,1.0,A,0.7584156394004822
angola,2015,89,-17.7782,19.1873,26,-0.9101664,0.0,C,0.7393530011177063
angola,2015,90,-15.0142,19.0301,26,-1.2799233,0.0,C,0.1579391360282898
angola,2015,91,-12.5287,15.8097,23,-0.10018103,0.0,E,0.9869440197944641
angola,2015,92,-15.8002,11.8588,26,1.157022,1.0,E,-0.19185566902160645
angola,2015,93,-9.3303,14.2435,26,-0.89736354,0.0,A,0.8398881554603577
angola,2015,94,-7.6179,15.0225,21,1.214196,1.0,C,0.3020007312297821
angola,2015,95,-9.5628,16.3247,26,-0.19208717,0.0,D,0.6370782852172852
angola,2015,96,-13.8198,21.4856,26,-1.1124182,0.0,A,0.06150895729660988
angola,2015,97,-13.0596,15.7828,26,-0.6025195,0.0,E,0.9799640774726868
angola,2015,98,-6.3625,16.4145,21,-1.25081,0.0,B,0.2045363038778305
angola,2015,100,-15.186,12.1601,26,1.9082205,1.0,A,0.532285749912262
angola,2015,101,-9.2686,15.2293,23,0.62846315,1.0,E,0.8427394032478333
angola,2015,102,-12.4722,16.4704,26,-0.95384896,0.0,E,0.1615665704011917
angola,2015,103,-13.3612,14.1309,26,-1.0897921,0.0,A,0.16362838447093964
angola,2015,104,-7.5165,15.6997,26,-0.94737977,0.0,A,-0.15554888546466827
angola,2015,105,-6.0219,15.7578,26,-1.1558936,0.0,D,0.9051864743232727
angola,2015,106,-14.748,14.9796,19,1.2346643,0.0,D,0.11177195608615875
angola,2015,107,-17.0336,14.8247,25,-1.2498082,0.0,C,-0.15123350918293
angola,2015,108,-9.0193,13.1141,26,1.0378938,0.0,D,-0.37151673436164856
angola,2015,109,-9.537,17.7887,20,-0.76109964,0.0,E,0.23979122936725616
angola,2015,110,-17.2945,16.029,26,-1.0014055,0.0,B,-0.01661069318652153
angola,2015,111,-7.3998,20.8228,16,0.742146,1.0,E,0.26901543140411377
angola,2015,112,-8.9104,13.2644,26,1.9796988,1.0,D,0.31273847818374634
angola,2015,113,-9.0274,13.3867,18,1.0735768,1.0,D,-0.11439760029315948
angola,2015,114,-16.1805,15.7859,26,-0.81663275,0.0,D,-0.10834959149360657
